[32672:25224:0205/172427.235:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[32672:29748:0205/172427.314:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[32672:25224:0205/172427.336:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[32672:25224:0205/172431.754:WARNING:external_registry_loader_win.cc(232)] Error observing HKLM: 5
[22712:22632:0205/172433.586:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-0016D2E2F263E18C7C4E206F9C6E870F will be ignored
[32672:2684:0205/181723.572:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=51})
[32672:2684:0205/181727.580:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=50})
[32672:2684:0205/181729.576:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=51})
[32672:2684:0205/181733.595:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=50})
[32672:2684:0205/181734.584:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=49})
[32672:2684:0205/181736.591:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=48})
[32672:2684:0205/181737.598:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=47})
[32672:2684:0205/181738.598:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=48})
[32672:2684:0205/181740.601:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=49})
[32672:2684:0205/181742.597:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=51})
[32672:2684:0205/181743.587:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=55})
[32672:2684:0205/181745.594:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=54})
[32672:2684:0205/181746.598:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=55})
[32672:2684:0205/181748.590:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=54})
